url1,url2,similarity
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.9269
https://nordlayer.com/learn/network-security/basics/,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.9188
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.885
https://guardiandigital.com/resources/blog/guide-on-phishing,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.9749
https://en.wikipedia.org/wiki/SD-WAN,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,0.9317
https://en.wikipedia.org/wiki/SD-WAN,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.9767
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.9491
https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.9856
https://www.efax.com/,https://comfax.com/reviews/free-fax/,0.8729
https://sign.dropbox.com/products/dropbox-fax,https://www.fax.plus/,0.9844
https://sign.dropbox.com/products/dropbox-fax,https://comfax.com/reviews/free-fax/,0.9544
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.9135
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.9296
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.9535
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.coursera.org/articles/content-strategy,0.8575
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9154
https://copyblogger.com/content-marketing/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.9238
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9856
https://copyblogger.com/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.8113
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://mailchimp.com/marketing-glossary/content-marketing/,0.9216
https://www.akkio.com/beginners-guide-to-machine-learning,https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,0.8991
https://emotive.io/blog/11-essential-digital-marketing-tips,https://www.forbes.com/advisor/business/what-is-digital-marketing/,0.9085
https://emotive.io/blog/11-essential-digital-marketing-tips,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.9436
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.9499
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://en.wikipedia.org/wiki/Digital_marketing,0.8359
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://simple.wikipedia.org/wiki/Digital_marketing,0.841
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.8098
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.8045
